6.0000E-03 -109.2944289124 -0.0078136398 -0.0023857181 -0.0009792201
7.0000E-03 -109.2940764782 -0.0077293212 -0.0022188934 -0.0001040896
8.0000E-03 -109.2937812372 -0.0077680833 -0.0022260537 0.0006869865
9.0000E-03 -109.2935130855 -0.0078902910 -0.0023444976 0.0013870207
1.0000E-02 -109.2932566323 -0.0080689451 -0.0025370791 0.0020014039
1.1000E-02 -109.2930037506 -0.0082854395 -0.0027801654 0.0025376499
1.2000E-02 -109.2927501569 -0.0085266813 -0.0030574291 0.0030028781
1.3000E-02 -109.2924937231 -0.0087832674 -0.0033568321 0.0034034209
1.4000E-02 -109.2922335844 -0.0090483346 -0.0036689908 0.0037449619
1.5000E-02 -109.2919696387 -0.0093168196 -0.0039863386 0.0040327950
1.6000E-02 -109.2917022488 -0.0095849718 -0.0043026125 0.0042719025
1.7000E-02 -109.2914320570 -0.0098500220 -0.0046126730 0.0044671405
1.8000E-02 -109.2911598637 -0.0101099506 -0.0049122759 0.0046232475
1.9000E-02 -109.2908865451 -0.0103633208 -0.0051980273 0.0047449012
2.0000E-02 -109.2906129972 -0.0106091539 -0.0054673315 0.0048366449
2.1000E-02 -109.2903400955 -0.0108468335 -0.0057182161 0.0049029374
2.2000E-02 -109.2900686677 -0.0110760308 -0.0059494474 0.0049479286
2.3000E-02 -109.2897994747 -0.0112966437 -0.0061602958 0.0049756786
2.4000E-02 -109.2895331993 -0.0115087475 -0.0063506142 0.0049898427
2.5000E-02 -109.2892704391 -0.0117125536 -0.0065205868 0.0049938976
2.6000E-02 -109.2890117042 -0.0119083761 -0.0066708866 0.0049908459
2.7000E-02 -109.2887574184 -0.0120966028 -0.0068023682 0.0049834500
2.8000E-02 -109.2885079219 -0.0122776721 -0.0069162023 0.0049740849
2.9000E-02 -109.2882634762 -0.0124520537 -0.0070136655 0.0049647886
